PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Harriet, Jorge; Pablo Campa, Juan; Grajales, Mauricio; Lheritier, Christophe; Gomez Pajuelo, Antonio; Mendoza-Spina, Yamandu; Carrasco-Letelier, Leonidas								Agricultural pesticides and veterinary substances in Uruguayan beeswax								CHEMOSPHERE				177				77	83		10.1016/j.chemosphere.2017.02.131			JUN 2017	2017										5							WOS:000399266600010		
J	Booton, Ross D.; Iwasa, Yoh; Marshall, James A. R.; Childs, Dylan Z.								Stress-mediated Allee effects can cause the sudden collapse of honey bee colonies								JOURNAL OF THEORETICAL BIOLOGY				420				213	219		10.1016/j.jtbi.2017.03.009			MAY 7 2017	2017										3							WOS:000400952700022		
J	O'Neal, Scott T.; Swale, Daniel R.; Blooniquist, Jeffrey R.; Anderson, Troy D.								ATP-sensitive inwardly inwardly rectifying potassium channel modulators alter cardiac function in honey bees								JOURNAL OF INSECT PHYSIOLOGY				99				95	100		10.1016/j.jinsphys.2017.04.005			MAY-JUN 2017	2017										6							WOS:000403627800012		
J	Branchiccela, B.; Arredondo, D.; Higes, M.; Invernizzi, C.; Martin-Hernandez, R.; Tomasco, I.; Zunino, P.; Antunez, K.								Characterization of Nosema ceranae Genetic Variants from Different Geographic Origins								MICROBIAL ECOLOGY				73	4			978	987		10.1007/s00248-016-0880-z			MAY 2017	2017										2							WOS:000401565700019		
J	Veach, Brian T.; Mudalige, Thilak K.; Rye, Peter								RapidFire Mass Spectrometry with Enhanced Throughput as an Alternative to Liquid-Liquid Salt Assisted Extraction and LC/MS Analysis for Sulfonamides in Honey								ANALYTICAL CHEMISTRY				89	6			3256	3260		10.1021/acs.analchem.6b04889			MAR 21 2017	2017										7							WOS:000397478300005		
J	Skubnik, Karel; Novacek, Jiri; Fuezik, Tibor; Pridal, Antonin; Paxton, Robert J.; Plevka, Pavel								Structure of deformed wing virus, a major honey bee pathogen								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				114	12			3210	3215		10.1073/pnas.1615695114			MAR 21 2017	2017										5							WOS:000396893600075		
J	Grau, Thorben; Brandt, Annely; DeLeon, Sara; Meixner, Marina Doris; Strauss, Jakob Friedrich; Joop, Gerrit; Telschow, Arndt								A Comparison of Wolbachia Infection Frequencies in Varroa With Prevalence of Deformed Wing Virus								JOURNAL OF INSECT SCIENCE				17	3						10.1093/jisesa/iex039			MAR 2017	2017										1							WOS:000404672200004		
J	Silvina, Niell; Florencia, Jesus; Nicolas, Perez; Cecilia, Perez; Lucia, Pareja; Abbate, Silvana; Leonidas, Carrasco-Letelier; Sebastian, Diaz; Yamandu, Mendoza; Veronica, Cesio; Horacio, Heinzen								Neonicotinoids transference from the field to the hive by honey bees: Towards a pesticide residues biomonitor								SCIENCE OF THE TOTAL ENVIRONMENT				581				25	31		10.1016/j.scitotenv.2017.01.011			MAR 1 2017	2017										5							WOS:000394635300004		
J	Benaets, Kristof; Van Geystelen, Anneleen; Cardoen, Dries; De Smet, Lina; de Graaf, Dirk C.; Schoofs, Liliane; Larmuseau, Maarten H. D.; Brettell, Laura E.; Martin, Stephen J.; Wenseleers, Tom								Covert deformed wing virus infections have long-term deleterious effects on honeybee foraging and survival								PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES				284	1848					20162149	10.1098/rspb.2016.2149			FEB 8 2017	2017										7							WOS:000393750000008		
J	Diaz, Sebastian; Urbano, Sarah de Souza; Caesar, Lilian; Blochtein, Betina; Sattler, Aroni; Zuge, Valmir; Haag, Karen Luisa								Report on the microbiota of Melipona quadrifasciata affected by a recurrent disease								JOURNAL OF INVERTEBRATE PATHOLOGY				143				35	39		10.1016/j.jip.2016.11.012			FEB 2017	2017										1							WOS:000395227900005		
